studyName,Cruise,"Cycle (Event Log)","Datetime PST (Event Log)","Latitude (Event Log) (º)","Longitude (Event Log) (º)","Event Number","Cast Number","Bottle Number","Depth (m)","Heterotrophic Bacteria (number/ml)","Prochlorococcus (number/ml)","Synechococcus (number/ml)","Picoeukaryotes (number/ml)",Notes
P0605KN,P0605KN,"CYCLE 4","2006-05-31 01:35:25",33.75663,-121.7096,664,62,18,13,1176512,0,10789,14044,
P0605KN,P0605KN,"CYCLE 4","2006-05-31 01:35:25",33.75663,-121.7096,664,62,16,19,1146797,0,10736,13086,
P0605KN,P0605KN,"CYCLE 4","2006-05-31 01:35:25",33.75663,-121.7096,664,62,10,30,1174596,0,11209,14175,
P0605KN,P0605KN,"CYCLE 4","2006-05-31 01:35:25",33.75663,-121.7096,664,62,8,40,971841,0,3728,5303,
P0605KN,P0605KN,"CYCLE 4","2006-05-31 01:35:25",33.75663,-121.7096,664,62,4,50,654675,0,3150,2494,
P0605KN,P0605KN,"CYCLE 5","2006-06-01 01:14:22",32.85005,-123.9991,673,63,23,2,729619,104094,5499,2402,
P0605KN,P0605KN,"CYCLE 5","2006-06-01 01:14:22",32.85005,-123.9991,673,63,20,12,809813,139532,6733,3006,
P0605KN,P0605KN,"CYCLE 5","2006-06-01 01:14:22",32.85005,-123.9991,673,63,17,20,768180,164732,6011,2848,
P0605KN,P0605KN,"CYCLE 5","2006-06-01 01:14:22",32.85005,-123.9991,673,63,14,30,734738,192334,5408,3504,
P0605KN,P0605KN,"CYCLE 5","2006-06-01 01:14:22",32.85005,-123.9991,673,63,11,50,858716,289131,9214,3491,
P0605KN,P0605KN,"CYCLE 5","2006-06-01 01:14:22",32.85005,-123.9991,673,63,8,60,1283166,490101,40793,10907,
P0605KN,P0605KN,"CYCLE 5","2006-06-01 01:14:22",32.85005,-123.9991,673,63,5,70,1145734,149310,27353,15081,
P0605KN,P0605KN,"CYCLE 5","2006-06-01 01:14:22",32.85005,-123.9991,673,63,2,90,657484,72266,5644,3833,
P0605KN,P0605KN,"CYCLE 5","2006-06-02 00:58:50",32.77602,-124.0864,703,67,23,2,761145,109108,4515,3216,
P0605KN,P0605KN,"CYCLE 5","2006-06-02 00:58:50",32.77602,-124.0864,703,67,20,12,763836,122771,4187,2874,
P0605KN,P0605KN,"CYCLE 5","2006-06-02 00:58:50",32.77602,-124.0864,703,67,17,20,755856,134886,4187,2559,
P0605KN,P0605KN,"CYCLE 5","2006-06-02 00:58:50",32.77602,-124.0864,703,67,14,30,772262,133823,4292,2927,
P0605KN,P0605KN,"CYCLE 5","2006-06-02 00:58:50",32.77602,-124.0864,703,67,11,50,835748,166071,7363,2848,
P0605KN,P0605KN,"CYCLE 5","2006-06-02 00:58:50",32.77602,-124.0864,703,67,8,60,1360971,442811,14634,5066,
P0605KN,P0605KN,"CYCLE 5","2006-06-02 00:58:50",32.77602,-124.0864,703,67,5,70,1853775,191559,41357,9713,
P0605KN,P0605KN,"CYCLE 5","2006-06-02 00:58:50",32.77602,-124.0864,703,67,2,90,811637,79643,8676,4161,
P0605KN,P0605KN,"CYCLE 5","2006-06-03 01:03:43",32.66868,-124.1889,737,70,23,2,763258,163800,4069,4397,
P0605KN,P0605KN,"CYCLE 5","2006-06-03 01:03:43",32.66868,-124.1889,737,70,20,12,791464,163918,4791,2914,
P0605KN,P0605KN,"CYCLE 5","2006-06-03 01:03:43",32.66868,-124.1889,737,70,17,20,813212,177161,4791,3308,
P0605KN,P0605KN,"CYCLE 5","2006-06-03 01:03:43",32.66868,-124.1889,737,70,14,30,863494,197466,6379,3688,
P0605KN,P0605KN,"CYCLE 5","2006-06-03 01:03:43",32.66868,-124.1889,737,70,11,50,1154081,388868,23546,6864,
P0605KN,P0605KN,"CYCLE 5","2006-06-03 01:03:43",32.66868,-124.1889,737,70,8,60,1565051,192596,43509,13571,
P0605KN,P0605KN,"CYCLE 5","2006-06-03 01:03:43",32.66868,-124.1889,737,70,5,70,1218774,132418,25397,13073,
P0605KN,P0605KN,"CYCLE 5","2006-06-03 01:03:43",32.66868,-124.1889,737,70,2,80,1061209,106247,18480,6983,
